1, 0. 0.083854 0.006766 0.004792 0.296861 0.075593 0.017556 0.02208 0.090503 0.080517 0.006083 0. 0.049627 0. 0.017103 0.370898 0.052585 0.116281 0.15156 0.041368 0.26102 0.129834 0.00913 0.012712 0.211833 0.211876 0.026144 0.018671 0.031283 0.;
2, 0. 0.083854 0.006766 0.004792 0.296861 0.075593 0.017556 0.02208 0.090503 0.080517 0.006083 0. 0.049627 0. 0.017103 0.370898 0.052585 0.116281 0.15156 0.041368 0.26102 0.129834 0.00913 0.012712 0.211833 0.211876 0.026144 0.018671 0.031283 0.;
3, 0. 0.083854 0.006766 0.004792 0.296861 0.075593 0.017556 0.02208 0.090503 0.080517 0.006083 0. 0.049627 0. 0.017103 0.370898 0.052585 0.116281 0.15156 0.041368 0.26102 0.129834 0.00913 0.012712 0.211833 0.211876 0.026144 0.018671 0.031283 0.;
4, 0. 0.083854 0.006766 0.004792 0.296861 0.075593 0.017556 0.02208 0.090503 0.080517 0.006083 0. 0.049627 0. 0.017103 0.370898 0.052585 0.116281 0.15156 0.041368 0.26102 0.129834 0.00913 0.012712 0.211833 0.211876 0.026144 0.018671 0.031283 0.;
5, 0. 0.087534 0.00616 0.004411 0.301184 0.079738 0.015659 0.024173 0.090503 0.098787 0.005368 0. 0.062795 0. 0.016669 0.389755 0.052444 0.125463 0.146741 0.03831 0.285326 0.131372 0.012352 0.012579 0.219372 0.207059 0.024222 0.016409 0.034982 0.;
6, 0. 0.087534 0.00616 0.004411 0.301184 0.079738 0.015659 0.024173 0.090503 0.098787 0.005368 0. 0.062795 0. 0.016669 0.389755 0.052444 0.125463 0.146741 0.03831 0.285326 0.131372 0.012352 0.012579 0.219372 0.207059 0.024222 0.016409 0.034982 0.;
7, 0. 0.087534 0.00616 0.004411 0.301184 0.079738 0.015659 0.024173 0.090503 0.098787 0.005368 0. 0.062795 0. 0.016669 0.389755 0.052444 0.125463 0.146741 0.03831 0.285326 0.131372 0.012352 0.012579 0.219372 0.207059 0.024222 0.016409 0.034982 0.;
8, 0. 0.087534 0.00616 0.004411 0.301184 0.079738 0.015659 0.024173 0.090503 0.098787 0.005368 0. 0.062795 0. 0.016669 0.389755 0.052444 0.125463 0.146741 0.03831 0.285326 0.131372 0.012352 0.012579 0.219372 0.207059 0.024222 0.016409 0.034982 0.;
9, 0. 0.097609 0.007138 0.003699 0.298568 0.088786 0.016677 0.02776 0.090503 0.113633 0.006435 0. 0.08234 0. 0.014798 0.430262 0.0507 0.149419 0.137823 0.032825 0.324109 0.133041 0.014892 0.012088 0.236994 0.19809 0.034799 0.012186 0.052486 0.;
10, 0. 0.097609 0.007138 0.003699 0.298568 0.088786 0.016677 0.02776 0.090503 0.113633 0.006435 0. 0.08234 0. 0.014798 0.430262 0.0507 0.149419 0.137823 0.032825 0.324109 0.133041 0.014892 0.012088 0.236994 0.19809 0.034799 0.012186 0.052486 0.;
11, 0. 0.097609 0.007138 0.003699 0.298568 0.088786 0.016677 0.02776 0.090503 0.113633 0.006435 0. 0.08234 0. 0.014798 0.430262 0.0507 0.149419 0.137823 0.032825 0.324109 0.133041 0.014892 0.012088 0.236994 0.19809 0.034799 0.012186 0.052486 0.;
12, 0. 0.097609 0.007138 0.003699 0.298568 0.088786 0.016677 0.02776 0.090503 0.113633 0.006435 0. 0.08234 0. 0.014798 0.430262 0.0507 0.149419 0.137823 0.032825 0.324109 0.133041 0.014892 0.012088 0.236994 0.19809 0.034799 0.012186 0.052486 0.;
13, 0. 0.097609 0.007138 0.003699 0.298568 0.088786 0.016677 0.02776 0.090503 0.113633 0.006435 0. 0.08234 0. 0.014798 0.430262 0.0507 0.149419 0.137823 0.032825 0.324109 0.133041 0.014892 0.012088 0.236994 0.19809 0.034799 0.012186 0.052486 0.;
14, 0. 0.121086 0.011946 0.003867 0.295571 0.096127 0.016658 0.045829 0.090503 0.122262 0.004562 0. 0.12146 0. 0.013818 0.513948 0.089626 0.220623 0.139203 0.026213 0.397054 0.146118 0.016295 0.017251 0.312505 0.176475 0.033186 0.011603 0.07404 0.;
15, 0. 0.121086 0.011946 0.003867 0.295571 0.096127 0.016658 0.045829 0.090503 0.122262 0.004562 0. 0.12146 0. 0.013818 0.513948 0.089626 0.220623 0.139203 0.026213 0.397054 0.146118 0.016295 0.017251 0.312505 0.176475 0.033186 0.011603 0.07404 0.;
16, 0. 0.121086 0.011946 0.003867 0.295571 0.096127 0.016658 0.045829 0.090503 0.122262 0.004562 0. 0.12146 0. 0.013818 0.513948 0.089626 0.220623 0.139203 0.026213 0.397054 0.146118 0.016295 0.017251 0.312505 0.176475 0.033186 0.011603 0.07404 0.;
17, 0. 0.121086 0.011946 0.003867 0.295571 0.096127 0.016658 0.045829 0.090503 0.122262 0.004562 0. 0.12146 0. 0.013818 0.513948 0.089626 0.220623 0.139203 0.026213 0.397054 0.146118 0.016295 0.017251 0.312505 0.176475 0.033186 0.011603 0.07404 0.;
18, 0. 0.122627 0.012403 0.003899 0.312718 0.098977 0.017763 0.049318 0.090503 0.127268 0.006678 0. 0.132604 0. 0.013251 0.54731 0.103527 0.241525 0.142921 0.026295 0.417163 0.153017 0.01617 0.018546 0.329869 0.166274 0.032762 0.012062 0.074805 0.;
19, 0. 0.122627 0.012403 0.003899 0.312718 0.098977 0.017763 0.049318 0.090503 0.127268 0.006678 0. 0.132604 0. 0.013251 0.54731 0.103527 0.241525 0.142921 0.026295 0.417163 0.153017 0.01617 0.018546 0.329869 0.166274 0.032762 0.012062 0.074805 0.;
20, 0. 0.122627 0.012403 0.003899 0.312718 0.098977 0.017763 0.049318 0.090503 0.127268 0.006678 0. 0.132604 0. 0.013251 0.54731 0.103527 0.241525 0.142921 0.026295 0.417163 0.153017 0.01617 0.018546 0.329869 0.166274 0.032762 0.012062 0.074805 0.;
21, 0. 0.122627 0.012403 0.003899 0.312718 0.098977 0.017763 0.049318 0.090503 0.127268 0.006678 0. 0.132604 0. 0.013251 0.54731 0.103527 0.241525 0.142921 0.026295 0.417163 0.153017 0.01617 0.018546 0.329869 0.166274 0.032762 0.012062 0.074805 0.;
22, 0. 0.122627 0.012403 0.003899 0.312718 0.098977 0.017763 0.049318 0.090503 0.127268 0.006678 0. 0.132604 0. 0.013251 0.54731 0.103527 0.241525 0.142921 0.026295 0.417163 0.153017 0.01617 0.018546 0.329869 0.166274 0.032762 0.012062 0.074805 0.;
23, 0. 0.120873 0.013452 0.004011 0.373903 0.09997 0.017925 0.053358 0.090503 0.134161 0.008055 0. 0.15183 0. 0.011172 0.598116 0.14344 0.27709 0.142812 0.022354 0.440778 0.161497 0.01409 0.022152 0.352953 0.152671 0.040441 0.010741 0.074195 0.;
24, 0. 0.120873 0.013452 0.004011 0.373903 0.09997 0.017925 0.053358 0.090503 0.134161 0.008055 0. 0.15183 0. 0.011172 0.598116 0.14344 0.27709 0.142812 0.022354 0.440778 0.161497 0.01409 0.022152 0.352953 0.152671 0.040441 0.010741 0.074195 0.;
25, 0. 0.120873 0.013452 0.004011 0.373903 0.09997 0.017925 0.053358 0.090503 0.134161 0.008055 0. 0.15183 0. 0.011172 0.598116 0.14344 0.27709 0.142812 0.022354 0.440778 0.161497 0.01409 0.022152 0.352953 0.152671 0.040441 0.010741 0.074195 0.;
26, 0. 0.120873 0.013452 0.004011 0.373903 0.09997 0.017925 0.053358 0.090503 0.134161 0.008055 0. 0.15183 0. 0.011172 0.598116 0.14344 0.27709 0.142812 0.022354 0.440778 0.161497 0.01409 0.022152 0.352953 0.152671 0.040441 0.010741 0.074195 0.;
27, 0. 0.113366 0.012444 0.008364 0.309138 0.083558 0.016686 0.053287 0.090503 0.121239 0.010043 0. 0.173284 0. 0.009082 0.640594 0.174112 0.32972 0.129875 0.01596 0.45965 0.158658 0.011681 0.024732 0.424521 0.149285 0.041102 0.011845 0.065267 0.;
28, 0. 0.113366 0.012444 0.008364 0.309138 0.083558 0.016686 0.053287 0.090503 0.121239 0.010043 0. 0.173284 0. 0.009082 0.640594 0.174112 0.32972 0.129875 0.01596 0.45965 0.158658 0.011681 0.024732 0.424521 0.149285 0.041102 0.011845 0.065267 0.;
29, 0. 0.113366 0.012444 0.008364 0.309138 0.083558 0.016686 0.053287 0.090503 0.121239 0.010043 0. 0.173284 0. 0.009082 0.640594 0.174112 0.32972 0.129875 0.01596 0.45965 0.158658 0.011681 0.024732 0.424521 0.149285 0.041102 0.011845 0.065267 0.;
30, 0. 0.113366 0.012444 0.008364 0.309138 0.083558 0.016686 0.053287 0.090503 0.121239 0.010043 0. 0.173284 0. 0.009082 0.640594 0.174112 0.32972 0.129875 0.01596 0.45965 0.158658 0.011681 0.024732 0.424521 0.149285 0.041102 0.011845 0.065267 0.;
31, 0. 0.114998 0.012121 0.012772 0.291698 0.081083 0.014436 0.053985 0.090503 0.122213 0.010248 0. 0.175974 0. 0.008081 0.66098 0.180336 0.349942 0.124821 0.018851 0.473192 0.155534 0.010875 0.022921 0.451209 0.14399 0.04034 0.013661 0.062542 0.;
32, 0. 0.114998 0.012121 0.012772 0.291698 0.081083 0.014436 0.053985 0.090503 0.122213 0.010248 0. 0.175974 0. 0.008081 0.66098 0.180336 0.349942 0.124821 0.018851 0.473192 0.155534 0.010875 0.022921 0.451209 0.14399 0.04034 0.013661 0.062542 0.;
33, 0. 0.114998 0.012121 0.012772 0.291698 0.081083 0.014436 0.053985 0.090503 0.122213 0.010248 0. 0.175974 0. 0.008081 0.66098 0.180336 0.349942 0.124821 0.018851 0.473192 0.155534 0.010875 0.022921 0.451209 0.14399 0.04034 0.013661 0.062542 0.;
34, 0. 0.114998 0.012121 0.012772 0.291698 0.081083 0.014436 0.053985 0.090503 0.122213 0.010248 0. 0.175974 0. 0.008081 0.66098 0.180336 0.349942 0.124821 0.018851 0.473192 0.155534 0.010875 0.022921 0.451209 0.14399 0.04034 0.013661 0.062542 0.;
35, 0. 0.114998 0.012121 0.012772 0.291698 0.081083 0.014436 0.053985 0.090503 0.122213 0.010248 0. 0.175974 0. 0.008081 0.66098 0.180336 0.349942 0.124821 0.018851 0.473192 0.155534 0.010875 0.022921 0.451209 0.14399 0.04034 0.013661 0.062542 0.;
36, 0. 0.117395 0.031301 0.021779 0.253855 0.072318 0.011454 0.052935 0.090503 0.132783 0.009433 0. 0.160086 0. 0.00607 0.690903 0.198851 0.385944 0.116482 0.028852 0.50593 0.146108 0.009916 0.02213 0.485743 0.154854 0.033004 0.01571 0.056794 0.;
37, 0. 0.117395 0.031301 0.021779 0.253855 0.072318 0.011454 0.052935 0.090503 0.132783 0.009433 0. 0.160086 0. 0.00607 0.690903 0.198851 0.385944 0.116482 0.028852 0.50593 0.146108 0.009916 0.02213 0.485743 0.154854 0.033004 0.01571 0.056794 0.;
38, 0. 0.117395 0.031301 0.021779 0.253855 0.072318 0.011454 0.052935 0.090503 0.132783 0.009433 0. 0.160086 0. 0.00607 0.690903 0.198851 0.385944 0.116482 0.028852 0.50593 0.146108 0.009916 0.02213 0.485743 0.154854 0.033004 0.01571 0.056794 0.;
39, 0. 0.117395 0.031301 0.021779 0.253855 0.072318 0.011454 0.052935 0.090503 0.132783 0.009433 0. 0.160086 0. 0.00607 0.690903 0.198851 0.385944 0.116482 0.028852 0.50593 0.146108 0.009916 0.02213 0.485743 0.154854 0.033004 0.01571 0.056794 0.;
40, 0. 0.104842 0.03718 0.048979 0.219547 0.080957 0.007988 0.044562 0.090503 0.139789 0.007489 0. 0.130823 0. 0.004984 0.715536 0.242561 0.414663 0.105819 0.041376 0.511106 0.137281 0.016899 0.01885 0.502932 0.170046 0.024992 0.018678 0.053679 0.;
41, 0. 0.104842 0.03718 0.048979 0.219547 0.080957 0.007988 0.044562 0.090503 0.139789 0.007489 0. 0.130823 0. 0.004984 0.715536 0.242561 0.414663 0.105819 0.041376 0.511106 0.137281 0.016899 0.01885 0.502932 0.170046 0.024992 0.018678 0.053679 0.;
42, 0. 0.104842 0.03718 0.048979 0.219547 0.080957 0.007988 0.044562 0.090503 0.139789 0.007489 0. 0.130823 0. 0.004984 0.715536 0.242561 0.414663 0.105819 0.041376 0.511106 0.137281 0.016899 0.01885 0.502932 0.170046 0.024992 0.018678 0.053679 0.;
43, 0. 0.104842 0.03718 0.048979 0.219547 0.080957 0.007988 0.044562 0.090503 0.139789 0.007489 0. 0.130823 0. 0.004984 0.715536 0.242561 0.414663 0.105819 0.041376 0.511106 0.137281 0.016899 0.01885 0.502932 0.170046 0.024992 0.018678 0.053679 0.;
44, 0. 0.104842 0.03718 0.048979 0.219547 0.080957 0.007988 0.044562 0.090503 0.139789 0.007489 0. 0.130823 0. 0.004984 0.715536 0.242561 0.414663 0.105819 0.041376 0.511106 0.137281 0.016899 0.01885 0.502932 0.170046 0.024992 0.018678 0.053679 0.;
45, 0. 0.098298 0.034535 0.064473 0.199722 0.084038 0.007038 0.0403 0.090503 0.147427 0.007591 0. 0.121051 0. 0.005312 0.708946 0.249015 0.401004 0.09958 0.044468 0.506056 0.136552 0.025524 0.016103 0.498989 0.176208 0.026018 0.019913 0.05607 0.;
46, 0. 0.098298 0.034535 0.064473 0.199722 0.084038 0.007038 0.0403 0.090503 0.147427 0.007591 0. 0.121051 0. 0.005312 0.708946 0.249015 0.401004 0.09958 0.044468 0.506056 0.136552 0.025524 0.016103 0.498989 0.176208 0.026018 0.019913 0.05607 0.;
47, 0. 0.098298 0.034535 0.064473 0.199722 0.084038 0.007038 0.0403 0.090503 0.147427 0.007591 0. 0.121051 0. 0.005312 0.708946 0.249015 0.401004 0.09958 0.044468 0.506056 0.136552 0.025524 0.016103 0.498989 0.176208 0.026018 0.019913 0.05607 0.;
48, 0. 0.098298 0.034535 0.064473 0.199722 0.084038 0.007038 0.0403 0.090503 0.147427 0.007591 0. 0.121051 0. 0.005312 0.708946 0.249015 0.401004 0.09958 0.044468 0.506056 0.136552 0.025524 0.016103 0.498989 0.176208 0.026018 0.019913 0.05607 0.;
49, 0. 0.067643 0.025424 0.089468 0.216523 0.095362 0.006468 0.030467 0.090503 0.175214 0.006554 0. 0.079418 0. 0.006188 0.717291 0.250588 0.353294 0.079375 0.053338 0.480775 0.148026 0.037518 0.012572 0.498254 0.179584 0.027675 0.022456 0.082116 0.;
50, 0. 0.067643 0.025424 0.089468 0.216523 0.095362 0.006468 0.030467 0.090503 0.175214 0.006554 0. 0.079418 0. 0.006188 0.717291 0.250588 0.353294 0.079375 0.053338 0.480775 0.148026 0.037518 0.012572 0.498254 0.179584 0.027675 0.022456 0.082116 0.;
51, 0. 0.067643 0.025424 0.089468 0.216523 0.095362 0.006468 0.030467 0.090503 0.175214 0.006554 0. 0.079418 0. 0.006188 0.717291 0.250588 0.353294 0.079375 0.053338 0.480775 0.148026 0.037518 0.012572 0.498254 0.179584 0.027675 0.022456 0.082116 0.;
52, 0. 0.067643 0.025424 0.089468 0.216523 0.095362 0.006468 0.030467 0.090503 0.175214 0.006554 0. 0.079418 0. 0.006188 0.717291 0.250588 0.353294 0.079375 0.053338 0.480775 0.148026 0.037518 0.012572 0.498254 0.179584 0.027675 0.022456 0.082116 0.;
53, 0. 0.067643 0.025424 0.089468 0.216523 0.095362 0.006468 0.030467 0.090503 0.175214 0.006554 0. 0.079418 0. 0.006188 0.717291 0.250588 0.353294 0.079375 0.053338 0.480775 0.148026 0.037518 0.012572 0.498254 0.179584 0.027675 0.022456 0.082116 0.;
54, 0. 0.067643 0.025424 0.089468 0.216523 0.095362 0.006468 0.030467 0.090503 0.175214 0.006554 0. 0.079418 0. 0.006188 0.717291 0.250588 0.353294 0.079375 0.053338 0.480775 0.148026 0.037518 0.012572 0.498254 0.179584 0.027675 0.022456 0.082116 0.;
55, 0. 0.050958 0.024831 0.097874 0.186819 0.100454 0.006272 0.027134 0.090503 0.177465 0.005617 0. 0.056563 0. 0.007591 0.704221 0.252397 0.330808 0.069277 0.051421 0.460871 0.150069 0.048884 0.020502 0.546852 0.167839 0.028114 0.025742 0.081375 0.;
56, 0. 0.050958 0.024831 0.097874 0.186819 0.100454 0.006272 0.027134 0.090503 0.177465 0.005617 0. 0.056563 0. 0.007591 0.704221 0.252397 0.330808 0.069277 0.051421 0.460871 0.150069 0.048884 0.020502 0.546852 0.167839 0.028114 0.025742 0.081375 0.;
57, 0. 0.050958 0.024831 0.097874 0.186819 0.100454 0.006272 0.027134 0.090503 0.177465 0.005617 0. 0.056563 0. 0.007591 0.704221 0.252397 0.330808 0.069277 0.051421 0.460871 0.150069 0.048884 0.020502 0.546852 0.167839 0.028114 0.025742 0.081375 0.;
