1, 0. 0. 0. 0. 0.220524 0. 0. 0. 0.090503 0. 0. 0. 0.428551 0. 0. 0. 0. 0.009468 0. 0. 0.003774 0. 0. 0. 0.016473 0. 0. 0. 0. 0.;
2, 0. 0. 0. 0. 0.227715 0. 0. 0. 0.090503 0. 0. 0. 0.418544 0. 0. 0. 0. 0.008696 0. 0. 0.004164 0. 0. 0. 0.015384 0. 0. 0. 0. 0.;
3, 0. 0. 0. 0. 0.227715 0. 0. 0. 0.090503 0. 0. 0. 0.418544 0. 0. 0. 0. 0.008696 0. 0. 0.004164 0. 0. 0. 0.015384 0. 0. 0. 0. 0.;
4, 0. 0. 0. 0. 0.236247 0. 0. 0. 0.090503 0. 0. 0. 0.409413 0. 0. 0. 0. 0.007883 0. 0. 0.005174 0. 0. 0. 0.014781 0. 0. 0. 0. 0.;
5, 0. 0. 0. 0. 0.236247 0. 0. 0. 0.090503 0. 0. 0. 0.409413 0. 0. 0. 0. 0.007883 0. 0. 0.005174 0. 0. 0. 0.014781 0. 0. 0. 0. 0.;
6, 0. 0. 0. 0. 0.245366 0. 0. 0. 0.090503 0. 0. 0. 0.403225 0. 0. 0. 0. 0.00722 0. 0. 0.00529 0. 0. 0. 0.014069 0. 0. 0. 0. 0.;
7, 0. 0. 0. 0. 0.245366 0. 0. 0. 0.090503 0. 0. 0. 0.403225 0. 0. 0. 0. 0.00722 0. 0. 0.00529 0. 0. 0. 0.014069 0. 0. 0. 0. 0.;
8, 0. 0. 0. 0. 0.252169 0. 0. 0. 0.090503 0. 0. 0. 0.393241 0. 0. 0. 0. 0.006593 0. 0. 0.005231 0. 0. 0. 0.013663 0. 0. 0. 0. 0.;
9, 0. 0. 0. 0. 0.252169 0. 0. 0. 0.090503 0. 0. 0. 0.393241 0. 0. 0. 0. 0.006593 0. 0. 0.005231 0. 0. 0. 0.013663 0. 0. 0. 0. 0.;
10, 0. 0. 0. 0. 0.255156 0. 0. 0. 0.090503 0. 0. 0. 0.381919 0. 0. 0. 0. 0.006618 0. 0. 0.004852 0. 0. 0. 0.012964 0. 0. 0. 0. 0.;
11, 0. 0. 0. 0. 0.255156 0. 0. 0. 0.090503 0. 0. 0. 0.381919 0. 0. 0. 0. 0.006618 0. 0. 0.004852 0. 0. 0. 0.012964 0. 0. 0. 0. 0.;
12, 0. 0. 0. 0. 0.257163 0. 0. 0. 0.090503 0. 0. 0. 0.381221 0. 0. 0. 0. 0.007206 0. 0. 0.006232 0. 0. 0. 0.012255 0. 0. 0. 0. 0.;
13, 0. 0. 0. 0. 0.257163 0. 0. 0. 0.090503 0. 0. 0. 0.381221 0. 0. 0. 0. 0.007206 0. 0. 0.006232 0. 0. 0. 0.012255 0. 0. 0. 0. 0.;
14, 0. 0. 0. 0. 0.255466 0. 0. 0. 0.090503 0. 0. 0. 0.384273 0. 0. 0. 0. 0.006713 0. 0. 0.007447 0. 0. 0. 0.011618 0. 0. 0. 0. 0.;
15, 0. 0. 0. 0. 0.255466 0. 0. 0. 0.090503 0. 0. 0. 0.384273 0. 0. 0. 0. 0.006713 0. 0. 0.007447 0. 0. 0. 0.011618 0. 0. 0. 0. 0.;
16, 0. 0. 0. 0. 0.253157 0. 0. 0. 0.090503 0. 0. 0. 0.384256 0. 0. 0. 0. 0.006292 0. 0. 0.007822 0. 0. 0. 0.01067 0. 0. 0. 0. 0.;
17, 0. 0. 0. 0. 0.253157 0. 0. 0. 0.090503 0. 0. 0. 0.384256 0. 0. 0. 0. 0.006292 0. 0. 0.007822 0. 0. 0. 0.01067 0. 0. 0. 0. 0.;
18, 0. 0. 0. 0. 0.253947 0. 0. 0. 0.090503 0. 0. 0. 0.382756 0. 0. 0. 0. 0.005531 0. 0. 0.007828 0. 0. 0. 0.010252 0. 0. 0. 0. 0.;
19, 0. 0. 0. 0. 0.253947 0. 0. 0. 0.090503 0. 0. 0. 0.382756 0. 0. 0. 0. 0.005531 0. 0. 0.007828 0. 0. 0. 0.010252 0. 0. 0. 0. 0.;
20, 0. 0. 0. 0. 0.25705 0. 0. 0. 0.090503 0. 0. 0. 0.379271 0. 0. 0. 0. 0.004938 0. 0. 0.007638 0. 0. 0. 0.009815 0. 0. 0. 0. 0.;
21, 0. 0. 0. 0. 0.25705 0. 0. 0. 0.090503 0. 0. 0. 0.379271 0. 0. 0. 0. 0.004938 0. 0. 0.007638 0. 0. 0. 0.009815 0. 0. 0. 0. 0.;
22, 0. 0. 0. 0. 0.2556 0. 0. 0. 0.090503 0. 0. 0. 0.375416 0. 0. 0. 0. 0.004573 0. 0. 0.007185 0. 0. 0. 0.009453 0. 0. 0. 0. 0.;
