0, 1 0.057966 -0.029777 -0.103458 2 0.065089 0.234896 0.068975 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.01886 -0.328359 0.383071 8 0.010307 0.296924 0.305001 9 0. 0. 0. 10 0. -0.675877 -0.625623 11 0.001976 -0.325058 0.614981 12 0.001581 0.638296 -0.66907 13 0.006492 -0.14976 0.904283 14 0.002214 -0.321927 -0.940282 15 0.000977 0.768741 0.546426 16 0.003795 0.153135 -0.740622 17 0.001339 -0.790256 0.284006 18 0.156377 -0.12288 0.088891 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
1, 1 0.00005 0.650305 -0.637366 2 0. 0.919429 -0.011611 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.080455 -0.188691 -0.044545 8 0.001161 -0.497255 -0.428341 9 0.000019 -0.334723 0.705796 10 0. 0.224592 0.395223 11 0.000022 0.026259 -0.735917 12 0.000063 -0.729728 0.493574 13 0.00003 -0.416431 -0.869375 14 0. 0.50192 0.774202 15 0.16959 -0.79249 -0.232386 16 0.099427 -0.605556 0.140375 17 0.000059 0.529433 -0.690714 18 0.151736 -0.95146 0.0054 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
2, 1 0.00005 0.650328 -0.638988 2 0. 0.919607 -0.010621 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.080508 -0.18919 -0.044469 8 0.001425 -0.497384 -0.428272 9 0.000019 -0.33491 0.705512 10 0. 0.22516 0.394854 11 0.000023 0.032699 -0.735959 12 0.000066 -0.730403 0.494226 13 0.000032 -0.416556 -0.868618 14 0. 0.50175 0.774227 15 0.132135 -0.794539 -0.23151 16 0.082194 -0.605032 0.140944 17 0.000059 0.528138 -0.690581 18 0.131827 -0.952205 0.005182 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
3, 1 0.00005 0.648227 -0.640365 2 0. 0.919765 -0.010114 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.080496 -0.18916 -0.044432 8 0.001528 -0.496245 -0.428378 9 0.000019 -0.334025 0.703956 10 0. 0.224344 0.395104 11 0.000023 0.042262 -0.733879 12 0.000066 -0.731522 0.4944 13 0.000032 -0.416267 -0.868334 14 0. 0.501714 0.774089 15 0.123402 -0.794872 -0.230134 16 0.081261 -0.605902 0.14063 17 0.000059 0.528333 -0.690126 18 0.124118 -0.951896 0.005072 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
4, 1 0.00005 0.650924 -0.639125 2 0. 0.92102 -0.010955 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.079022 -0.189176 -0.043421 8 0.001579 -0.497787 -0.428067 9 0.000019 -0.335648 0.705289 10 0. 0.225222 0.394551 11 0.000022 0.048746 -0.732327 12 0.000082 -0.731425 0.494512 13 0.000031 -0.416394 -0.86879 14 0. 0.501784 0.774493 15 0.12006 -0.793509 -0.229071 16 0.079779 -0.605572 0.140749 17 0.000059 0.528221 -0.690204 18 0.120818 -0.949643 0.004962 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
5, 1 0.00005 0.647652 -0.641016 2 0. 0.920404 -0.010717 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.079063 -0.189902 -0.042449 8 0.001617 -0.497498 -0.428345 9 0.000019 -0.335088 0.706264 10 0. 0.224711 0.394948 11 0.00002 0.046263 -0.733205 12 0.000086 -0.729547 0.494121 13 0.000029 -0.41658 -0.868433 14 0. 0.501571 0.774286 15 0.119704 -0.795585 -0.227679 16 0.079836 -0.605177 0.139699 17 0.000059 0.527169 -0.690277 18 0.120481 -0.950103 0.005286 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
6, 1 0.00005 0.644964 -0.641181 2 0. 0.920038 -0.010671 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.078884 -0.189212 -0.042461 8 0.001629 -0.497284 -0.428323 9 0.000019 -0.335666 0.705242 10 0. 0.225218 0.394801 11 0.000021 0.044701 -0.733582 12 0.000084 -0.729606 0.494282 13 0.00003 -0.416753 -0.869014 14 0. 0.501403 0.77419 15 0.12026 -0.79512 -0.226774 16 0.079669 -0.604424 0.139278 17 0.000059 0.527304 -0.690229 18 0.12104 -0.951088 0.005533 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
7, 1 0.00005 0.643717 -0.641161 2 0. 0.920003 -0.010833 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.079001 -0.189449 -0.042298 8 0.001639 -0.496855 -0.42845 9 0.000019 -0.335477 0.704491 10 0. 0.224983 0.39467 11 0.00002 0.037383 -0.734319 12 0.000084 -0.730119 0.494441 13 0.000029 -0.416401 -0.869488 14 0. 0.50159 0.774078 15 0.121541 -0.795077 -0.225657 16 0.079792 -0.604778 0.139535 17 0.000059 0.526345 -0.690612 18 0.122325 -0.951643 0.005482 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
8, 1 0.000051 0.643112 -0.641018 2 0. 0.920543 -0.010955 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.078802 -0.192238 -0.041914 8 0.00164 -0.497993 -0.428639 9 0.000019 -0.33581 0.704161 10 0. 0.224555 0.394844 11 0.000018 0.029421 -0.737785 12 0.000081 -0.730151 0.494177 13 0.000027 -0.416393 -0.869545 14 0. 0.501634 0.774341 15 0.123088 -0.796927 -0.224749 16 0.07961 -0.603658 0.139301 17 0.00006 0.52723 -0.690017 18 0.123858 -0.950456 0.005625 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
9, 1 0.000051 0.643805 -0.640842 2 0. 0.920245 -0.011444 3 0. 0. 0. 4 0. 0. 0. 5 0. 0. 0. 6 0. 0. 0. 7 0.079544 -0.193895 -0.04255 8 0.001665 -0.498664 -0.428589 9 0.000019 -0.336023 0.704754 10 0. 0.224306 0.394354 11 0.000016 0.029049 -0.742039 12 0.000082 -0.729742 0.493693 13 0.000026 -0.41443 -0.870326 14 0. 0.502091 0.775215 15 0.124366 -0.797551 -0.223884 16 0.080363 -0.602568 0.139122 17 0.00006 0.527807 -0.690063 18 0.125149 -0.951095 0.005517 19 0. 0. 0. 20 0. 0. 0. 21 0. 0. 0. 22 0. 0. 0. 23 0. 0. 0. 24 0. 0. 0. 25 0. 0. 0. 26 0. 0. 0. 27 0. 0. 0. 28 0. 0. 0. 29 0. 0. 0. 30 0. 0. 0. 31 0. 0. 0. 32 0. 0. 0. 33 0. 0. 0. 34 0. 0. 0. 35 0. 0. 0. 36 0. 0. 0. 37 0. 0. 0. 38 0. 0. 0. 39 0. 0. 0. 40 0. 0. 0. 41 0. 0. 0. 42 0. 0. 0. 43 0. 0. 0. 44 0. 0. 0. 45 0. 0. 0. 46 0. 0. 0. 47 0. 0. 0. 48 0. 0. 0. 49 0. 0. 0. 50 0. 0. 0.;
